gmfTag	group	isoFieldId
StoredCrdInd	-	18.1.6
AmexACI	-	18.1.7
SpdPssID	-	19.1.1
DSTChlngInpt	-	19.1.2
DSTChlngRsp	-	19.1.3
LgValPrd	-	19.1.4
ActAcctNum	-	19.1.5
ActExpiryDate	-	19.1.6
TaxAmt	-	20.1.1
TaxInd	-	20.1.2
VATTaxAmt	-	20.1.3
VATTaxRt	-	20.1.4
PurchIdfr	-	20.1.5
PCOrderNum	-	20.1.6
DiscntAmt	-	20.1.7
FrghtAmt	-	20.1.8
DutyAmt	-	20.1.9
DestPostalCode	-	20.1.10
ShipFromPostalCode	-	20.1.11
DestCtryCode	-	20.1.12
MerchTaxID	-	20.1.13
ProdDesc	-	20.1.14
ComCardType	-	20.1.15
OrderDate	-	20.2.1
OrderDate	-	21.1.1
OrderTime	-	21.1.2
BillerRefNum	-	21.1.3
SKU	-	21.1.4
ShipToFirstNm	-	22.1.1
ShipToLastNm	-	22.1.2
ShipToAddr1	-	22.1.3
ShipToAddr2	-	22.1.4
ShipToCity	-	22.1.5
ShipToState	-	22.1.6
ShipToCtry	-	22.1.7
ShipToPostalCode	-	22.1.8
ShipToTelNum	-	22.1.9
ShipToTelType	-	22.1.10
DelivType	-	22.1.11
ShippingCarrier	-	22.1.12
ShippingMthd	-	22.1.13
L3ItemSeqNum	-	23.1.1
L3ItemCode	-	23.1.2
L3ItemDesc	-	23.1.3
L3Qty	-	23.1.4
L3ItemQtyExp	-	23.1.5
L3UnitOfMsure	-	23.1.6
L3UnitCost	-	23.1.7
L3UnitCostExp	-	23.1.8
L3ItemTot


Purchase Card Level 3                                                                                             23-7	-	23.1.9
L3TaxRt	-	23.1.10
L3ProdCode	-	23.1.13
L3ExtItemAmt	-	23.1.14
L3TaxInd	-	23.1.15
L3TaxRate	-	23.1.16
L3TaxRtExp	-	23.1.17
L3NatTax	-	23.1.18
L3NatTaxRt	-	23.1.19
L3MerchVATReg	-	23.1.20
L3OtherTaxAmt	-	23.1.21
L3TaxTypeApp	-	23.1.22
L3TaxAmount	-	23.1.23
L3DbCrInd	-	23.1.24
L3LineItmDtlInd	-	23.1.25
L3SumComCd	-	23.1.26
L3ProdDesc	-	23.1.27
L3TaxTypeId	-	23.1.28
CustSvcPhoneNumber	-	24.1.1
EcommURL	-	24.1.3
MCSN	-	24.1.4
MCSC	-	24.1.5
MOTOIndicator	-	24.1.6
VisaXID	-	24.2.1
VisaSecrTxnAD	-	24.2.2
CAVVResultCode	-	24.2.3
AmexXID	-	24.2.4
AmexSecrAD	-	24.2.5
Safekey	-	24.2.6
UCAFCollectInd	-	24.2.7
MCSecrAD	-	24.2.8
DiscAuthType	-	24.2.9
DiscSecData	-	24.2.10
SecDataDowngrade	-	24.2.11
TknAVD	-	24.2.12
TAVVResultCode	-	24.2.13
ProgramProtocol	-	24.2.14
DirServerTransID	-	24.2.15
LowValExInd	-	24.2.16
TranRiskAnaExInd	-	24.2.17
TrustMerchExInd	-	24.2.18
SecrCorpExInd	-	24.2.19
DelegAuthInd	-	24.2.20
MerchantAuthentID	-	24.2.21
RecPayExInd	-	24.2.22
ExReasonCode	-	24.2.23
RmtCommAcptrId	-	24.2.24
AuthOutExInd	-	24.2.25
UnionPaySecData	-	24.2.26
DAFInd	-	24.2.27
SecrXID	-	24.2.28
SecrTxnAD	-	24.2.29
AuthenDataQltInd	-	24.2.30
AVSBillingAddr	-	25.1.1
AVSBillingPostalCode	-	25.1.2
CHFirstNm	-	25.1.3
CHLastNm	-	25.1.4
CHFullNmRes	-	25.1.5
CustEmailAddr	-	25.1.6
CustTelNum	-	25.1.7
CHMidNm	-	25.1.8
FullNmAcctMtchDec	-	25.1.9
LastNmAcctMtchDec	-	25.1.10
MidNmAcctMtchDec	-	25.1.11
FirstNmAcctMtchDec	-	25.1.12
CHPhNumRes	-	25.1.13
CHEmailAddrRes	-	25.1.14
CustomerName	-	25.1.15
CustInfoEnhdRes	-	25.1.16
EschtblTxn	-	26.1.1
CardClass	-	26.1.2
CardCost	-	26.1.3
PostDate	-	26.1.4
SATranSeq	-	27.1.1
SACondCode	-	27.1.2
SAEntryMode	-	27.1.3
SASysTrace	-	27.1.4
SAACI	-	27.1.5
SAMrktSpecificDataInd	-	27.1.7
CardActivDate	-	28.1.1
HoldInfo	-	28.1.2
PayeePhoneNum	-	29.1.1
PayeeAcctNum	-	29.1.2
PayeeID	-	29.1.3
BillingInd	-	29.1.4
CITMITFrmInd	-	29.1.5
EBTType	-	30.1.1
MerchFNSNum	-	31.1.1
EBTCardSeqNum	-	31.1.2
VoucherNum	-	32.1.1
EBenExDt	-	33.1.1
PBCatCd	-	33.2.1
OrigQty	-	33.2.2
PINData	-	34.1.1
EnhKeyChkDig	-	34.1.2
MICR	-	35.1.1
DrvLic	-	35.1.2
StateCode	-	35.1.3
DLDateOfBirth	-	35.1.4
ChkSvcPvdr	-	35.1.5
ChkEntryMethod	-	35.1.6
ChkType	-	36.1.1
ECAProdCd	-	36.1.2
DnlRecNum	-	36.1.3
ECAPhnNum	-	36.1.4
ECATrcID	-	36.1.5
ECABCN	-	36.1.6
RespChkNum	-	36.1.7
RetChkFee	-	36.1.8
RetChkNote	-	36.1.9
ECAStatus	-	36.1.10
TotReqDate	-	37.1.1
Password	-	37.1.2
NetSettleAmt	-	37.1.3
FeeAmt	-	37.1.4
HTSettleDate	-	37.1.5
CardTag	-	37.2.1
SumPymtTypeTag	-	37.2.2
ServLvl	-	38.1.1
NumOfProds	-	38.1.2
NACSProdCode	-	38.2.1
UnitOfMsure	-	38.2.2
Qnty	-	38.2.3
UnitPrice	-	38.2.4
ProdAmt	-	38.2.5
Odo	-	39.1.1
VehNum	-	39.1.2
JobNum	-	39.1.3
DrvNum	-	39.1.4
FltEmpNum	-	39.1.5
LicNum	-	39.1.6
JobID	-	39.1.7
DeptNum	-	39.1.8
CustData	-	39.1.9
UserID	-	39.1.10
VehIDNum	-	39.1.11
ServResCd	-	39.1.12
TrailerID	-	39.1.13
ReeferHr	-	39.1.14
ExtDrvID	-	39.1.15
UnitID	-	39.1.16
DrvLicState	-	39.1.17
VehLicState	-	39.1.18
TrailerLic	-	39.1.19
TrailerLicState	-	39.1.20
FleetID	-	39.1.21
PurchaseOrder	-	39.1.22
MaintenanceID	-	39.1.23
Hubometer	-	39.1.24
TripNumber	-	39.1.25
VoyagerData	-	39.1.26
AvailProdsInd	-	39.1.27
AvailProdFleetInfo	-	39.1.28
PurchResFlag	-	39.1.29
EnhdFltPromptFormat	-	39.1.30
